Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??,Thông tin xu?t b?n,Barcode
Ch? ngh?a xã h?i khoa h?c (Trích tác ph?m kinh ?i?n) ch??ng trình trung c?p, , , ,Ch? ngh?a xã h?i khoa h?c,"Hà N?i : Sách giáo khoa Mac Lê, 1979",Vc 93435
Bàn v? thanh niên / Calinin M.I., ,"Calinin, M.I.", ,"?oàn thanh niên;""Chính tr? xã h?i"";""Thanh niên""","Hà N?i : Thanh niên, 1982",Vc 20/I
Tuyên ngôn c?a ??ng c?ng s?n / Mác C., ,"Mác, C.","?ngghen, Ph.","Kinh ?i?n;""Tuyên ngôn ?CS""","Hà N?i : S? th?t, 1983",Vc 2121/I
Trích tác ph?m kinh ?i?n v? xây d?ng ??ng, , , ,"Kinh ?i?n;""Xây d?ng ??ng""","Hà N?i : Giáo khoa Mác Lê Nin, 1984",Vc 3009/I
Ch?ng ?uyrinh (Ông ? ?uyrinh ??o l?n khoa h?c) / ?ngghen Ph., ,"?ngghen, Ph.", ,"Ch?ng ?uyrinh;""Kinh ?i?n"";""?ngghen""","Hà N?i : S? th?t, 1984",Vc 3368/I
Bao la nhân ái H? Chí Minh / T? H?u Yên, ,"T?, H?u Yên","Thu Giang;""Tr?n, Cao Nguyên""","H? Chí Minh;""T? t??ng H? Chí Minh""","Hà N?i : Thanh niên, 1994",Vc 7281/92
"??i t??ng, nhi?m v?, ph??ng pháp c?a kinh t? chính tr? xã h?i ch? ngh?a / Phiri?rich H.", ,Phiri?rich H.,"S?lis?, V.","Khoa h?c kinh t?;""Kinh t? chính tr? XHCN"";""??i t??ng"";""Nhi?m v?"";""Ph??ng pháp""","Hà N?i : Sách giáo khoa Mác Lê Nin, 1985",Vc 5716/I
Các Mác và th?i ??i chúng ta, , , ,"Kinh ?i?n;""Các Mác"";""Th?i ??i ngày nay""","Hà N?i : S? th?t, 1985",Vc 6158/I
Bàn v? lôgic h?c bi?n ch?ng / Mác C., ,"Mác, C.","?ngghen, Ph.;""Lênin, V.I.""","Kinh ?i?n;""Lôgic h?c bi?n ch?ng""","Hà N?i : Thông tin lý lu?n, 1985","Vc 6320/I;""Vc 6326/I"""
Giao nh?n v?n t?i hàng hoá qu?c t? / ?inh Ng?c Vi?n, ,"?inh, Ng?c Vi?n","?inh, Xuân Trình","Kinh t? công nghi?p;""Hàng hoá qu?c t?"";""Kinh t? v?n t?i""","Hà N?i : Giao thông v?n t?i, 2002",Vc 34129/92
T? ?i?n gi?i thích thu?t ng? hành chính / Mai H?u Khuê, ,"Mai, H?u Khuê","Bùi, V?n Nh?n","T? ?i?n gi?i thích;""Thu?t ng? hành chính"";""Ngôn ng?""","Hà N?i : Lao ??ng, 2002","Vc 34135/92;""Vc 34138/92"""
?ông Nam á ch?ng ???ng dài phía tr??c / Lim Chong Yah, ,Lim Chong Yah, ,"Kinh t? ?ông Nam á;""Kinh t? th? gi?i"";""ASEAN""","Hà N?i : Th? gi?i, 2002",Vc 34242/92
Thuy?t kinh t? m?i vàChu k? m?ic?a n?n kinh t? M?, , , ,"M?;""Khoa h?c kinh t?"";""Thuy?t kinh t? m?i"";""Kinh t? M?""","Hà N?i : Chính tr? qu?c gia, 2002",Vc 34351/92
Ph??ng pháp nghiên c?u khoa h?c / Ph??ng k? S?n, ,"Ph??ng, k? S?n", ,"Nghiên c?u khoa h?c;""Khoa h?c chung""","Hà N?i : Chính tr? qu?c gia, 2002","Vc 34372/92;""Vc 34365/92"""
T?p bài gi?ng v? ch? ngh?a t? b?n hi?n ??i / Nguy?n Kh?c Thân, ,"Nguy?n, Kh?c Thân", ,"H?c thuy?t kinh t? phi Mác xít;""Giáo trình"";""Khoa h?c kinh t?"";""Ch? ngh?a t? b?n hi?n ??i""","Hà N?i : Chính tr? qu?c gia, 2002","Vc 34473/92;""Vc 34474/92"""
Tìm hi?u ???ng l?i kinh t? trong ngh? quy?t ??i h?i 9 c?a ??ng / V? H?u Ngo?n, ,"V?, H?u Ngo?n", ,"Vi?t Nam;""???ng l?i kinh t?"";""??i h?i ??ng 9"";""??ng CS Vi?t Nam"";""Chính tr? xã h?i""","Hà N?i : Chính tr? qu?c gia, 2001",Vc 34675/92
Lao ??ng vi?c làm và ngu?n nhân l?c ? vi?t nam 15 n?m ??i m?i / N.H Jean, ,N.H Jean,Y MARTIN,"Ngu?n nhân l?c;""Lao ??ng"";""Vi?t Nam"";""Vi?c làm"";""Công cu?c ??i m?i"";""Kinh t? lao ??ng""","Hà N?i : Th? gi?i, 2001",Vc 34905/92
