Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
The managerial decision: Making process / E. Frank Harrison,Quy?t ??nh c?a ng??i qu?n lý Quá trình ra quy?t ??nh,Harrison E. Frank, ,"Business Administration;""Quy?t ??nh"";""Ng??i qu?n lý"";""Managerial"";""Decision""","USA. : Houghton Mifflin Company, 1975",NV02007
Introduction to Coastline development / J. A. Streers,C?m nang v? phát tri?n vùng bi?n,"Streers, J. A.", ,"Natural Sciences and Technology;""Coastline"";""Phát tri?n"";""Vùng bi?n"";""Development""","E. : The MIT Press, 1971",NV02020
"Comparing public policies: United States, Soviet Union, and Europe / Richard L. Siegel",So sánh các chính sách công,"Siegel, Richard L.",Leonard B Weinberg,"Educational culture;""Compare"";""Policy"";""So sánh"";""Chính sách""","USA. : The Dorsey Press, 1977",NV02018
The economics of work and Pay / Daniel S. Hamermesh,Kinh t? h?c v? vi?c làm và ti?n công,Daniel S. Hamermesh,Albert Rees,"Labor economics;""Employment"";""Kinh t? h?c"";""Pay"";""Vi?c làm"";""ti?n công"";""Economics""","USA. : Harper Collins Publishers, 1988","NV01865;""NV02016"""
Major power relations in northeast Asia / Robert Scalapino, ,Scalapino Robert, ,"Social political;""Northeast AsiaQuy?n l?c"";""Power"";""relation"";""?ông b?c châu á"";""M?i quan h?""","New York : University presspf America, 1987",NV02093
Fact & Fancy in International economic relations: An essay on international monetary reform / Balogh Thomas,Th?c t? và d? ?oán v? quan h? kinh t? qu?c t? Nh?ng v?n ?? v? c?i cách ti?n t? qu?c t?,Thomas Balogh,Peter Balacs,"Commerce;""C?i t?o"";""International"";""Kinh t?"";""Qu?c t?"";""Reform"";""Relation"";""Ti?n t?"";""monetary"";""quan h?"";""Economic""","E. : Pergamon Press, 1973",NV01973
Study guide & Problems to accompany macroeconomics / Dascomb R. Forbush,H??ng d?n nghiên c?u và nh?ng v?n ?? kinh t? v? mô,"Forbush, Dascomb R.",Fredic C.Menz,"Economics;""Bank"";""Tài chính"";""Ti?n t?"";""Thu nh?p"";""Policy"";""Ngân hàng"";""Macroeconomic"";""Kinh t? v? mô"";""Income"";""Fiscal"";""Chính sách"";""Monetary""","USA. : Harper & Row, publishers, 1987",NV02004
Principle of economics: Study guide with practice tests / Karl E. Case,Nguyên lý kinh t? h?c,"Case Karl, E.",Ray C. Fair,"Economics;""Kinh t? h?c"";""Nguyên lý"";""Principle"";""Economics""","USA. : Prentice Hall, Inc, 1989",NV02000
Study guide to accompany microeconomics / Paul Wonnacott,H??ng d?n nghiên c?u kinh t? h?c vi mô,Wonnacott Paul,Ronald Wonnacott,"Economics;""Kinh t? h?c vi mô"";""Microeconomic""","USA. : John Wiley & Sons, 1990",NV02002
Economics: Instructor's manual / Richard B. Mc Kenzie,Kinh t? h?c C?m nang,Mc Kenzie Richard B., ,"Economics 377;""Economics"";""Kinh t? h?c"";""C?m nang""","USA. : Houghton Mifflin Company, 1989",NV02003
Principles of microeconomics / Edwin Mansfield,Nguyên lý kinh t? h?c vi mô,Mansfield Edwin, ,"Economics;""Microeconomic"";""Principle"";""Kinh t? h?c vi mô"";""Nguyên lý""","USA. : W.W. Norton & Company, 1989",NV01872
Microeconomics for business decisions / Eric J. Solberg,Kinh t? h?c vi mô ??i v?i nh?ng quy?t ??nh kinh doanh,Solberg Eric J., ,"Economics;""Business"";""Quy?t ??nh"";""Microeconomic"";""Kinh t? h?c vi mô"";""Decision"";""Kinh doanh""","USA. : Lexington, 1992",NV02001
Public Administration / Charles H. Levine,Qu?n tr? công c?ng,Levine Charles H.,B. Guy Peters,"Social political;""Financial adminstration"";""Lu?t qu?n tr?"";""Organization"";""Qu?n tr?"";""Qu?n tr? nhân s?"";""Qu?n tr? tài chính"";""T? ch?c"";""administration law"";""personnel administration"";""Admonistration""","USA. : Scott Foresman and Company, 1990",NV01850
"Public administration: Reading in institutions processes, behavior, policy / Robert T. Golembiewski",Qu?n tr? công c?ng,Robert T. Golembiewski, ,"Social political;""Public administration"";""Qu?n tr?"";""Qu?n tr? công c?ng"";""Administration""","USA. : Rand Mc Nally College, 1976",NV09086
Economics / Pual Wonnacott,Kinh t? h?c,Wonnacott Pual,Ronald Wonnacott,"Economics;""Kinh t? h?c"";""Economics""","USA. : Mc Graw - Hill Book Company, 1986",NV01862
Economics: Studt guide / Kamerschen,Kinh t? h?c,Kamerschen, ,"Economics;""Kinh t? h?c"";""Economics""","USA. : Houghton Mifflin Company, 1989",NV01870
Economic: Mainstream readings & Radical Critiques / David Mermelstrei, ,Mermelstrei David, ,"Economics;""Kinh t? h?c"";""Economics""","USA. : Random House, 1970",NV06972
American public policy - an introduction / Clarke E. Cochran,Gi?i thi?u chính sách công c?ng c?a M?,"Cochran, Klarke E.",T.R. Carr,"Economics;""American"";""M?"";""Policy"";""Public"";""công c?ng"";""Chính sách""","USA. : St. Martin's Press, 1990",NV01867
"Readings in public administration: Insitution, processes, behavior, policiy / Robert T. Golembieuski",Bài gi?ng v? qu?n tr? công c?ng,Golembieuski Robert T.,Frank K. Gibsen,"Social political;""Administration"";""Qu?n tr?"";""công c?ng"";""Public""","USA. : Houghton Mifflin company Boston, 1983",NV01866
The Perfect war: The war we couldn't lose and how we did / James William Gibson,Cu?c chi?n tranh toàn di?n,James William Gibson, ,"Educational culture;""Vi?t nam"";""War"";""chi?n tranh"";""Vietnamese""","USA. : Lintage books, 1988",NV01882
Organization development & change / Edgar F. Huse,Phát tri?n và ??i m?i t? ch?c,Huse Edgar F., ,"Social political;""Development"";""Organization"";""Phát tri?n"";""T? ch?c"";""??i m?i"";""Change""","USA. : West Publishing Co, 1975",NV01877
Poverty & Growth in the Philippines: Economic reforms employment and income distribution / Reiner Prichter,Tình tr?ng nghèo kh? và t?ng t??ng ? Philippin,"Prichter, Reiner", ,"Economics;""Growth"";""T?ng tr??ng"";""Poverty"";""Nghèo kh?"";""Philippines""","Philippine : Friedrich ebert stiftung philippine economic society, 1989",NV06973
Two cheers for the affluent society / Becderman Wilfred, ,Wilfred Becderman, ,"Social political;""Affluent"";""Gi?u có"";""Growth"";""Kinh t?"";""Society"";""T?ng tr??ng"";""phong phú"";""xã h?i"";""Economic""","USA. : Saint Martins Press, 1975",NV06984
The World economic crisis / Wiliam P. Bundy,Kh?ng ho?ng kinh t? th? gi?i,Bundy Wiliam P., ,"Commerce;""Crisis"";""Kh?ng ho?ng"";""Kinh t?"";""Th? gi?i"";""World"";""Economic""","USA. : W.W Norton & Company, Inc, 1975",NV01925
New Dimensions of political economy / Walter W. Heller,Nh?ng quan ?i?m m?i v? kinh t? chính tr?,"Heller, Walter W.", ,"Economics;""Chính tr?"";""Political"";""Kinh t?"";""Economic""","USA. : Oxford university press, 1966",NV01934
The political economy of independent Fiji / E. K. Fisk, ,Fisk E. K., ,"Natural Sciences and Technology;""Chính tr?"";""Fiji"";""Political"";""Qu?n lý kinh t?"";""Economy""","AUS. : Australian National University Press, 1970",NV01933
Environmental policy & Welfare economics / Hjalte Krister,Chính sách môi tr??ng và phúc l?i kinh t?,"Krister, Hjalte",Lidgren Karl,"Educational culture;""Environmental"";""Kinh t?"";""Môi tr??ng"";""Phúc l?i"";""Policy"";""Welfare"";""Chính sách""","E. : Cambridge University Press, 1977",NV01937
Disguised unemployment in underdeveloped countries / B. N. Ghosh,Th?t nghi?p trá hình ? các n??c ch?m phát tri?n,B. N. Ghosh, ,"Labor economics;""N??c ch?m phát tri?n"";""Th?t nghi?p"";""Trá hình"";""Underdeveloped country"";""Unemploment"";""Disguise""","New Delhi. : Heritage Publishers, 1977",NV09386
History of economic analysis / Joseph A. Schumpeter,L?ch s? c?a vi?c phân tích kinh t?,Schumpeter Joseph A., ,"Economics;""L?ch s?"";""Phân tích kinh t?"";""economic analysis"";""History economic""","New York : Oxford university press, 1954","NV02361;""NV02362"""
